ACC_NAME_TH,ACC_NAME_EN,ACCOM_TYPE_NAME,ACC_ROOM,ACC_HILIGHT,ACC_HIGH_RATE,ACC_LOW_RATE,ACC_ROAD,REGION_NAME_TH,SUBDISTRICT_NAME_TH,DISTRICT_NAME_TH,PROVINCE_NAME_TH,ACC_LOCATION,Latitude,Longitude,ACC_STANDARD,ACC_LOCATION_1
นิลลี มารีน่า อินน์,Nilly Marina Inn,โรงแรม,18,,800,600,ทวีวงศ์,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.8860245, 98.28950499999999",7.8860315,98.2895083,,"7.8860245, 98.28950499999999"
บาวแมน วิลล์,Bauman Ville,โรงแรม,44,,1500,1200,นาใน,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.881395800000001, 98.2992187",7.8813958,98.2992187,,"7.881395800000001, 98.2992187"
สุดใจเฮาส์,Sutjai House,รีสอร์ท,15,,1500,900,,ภาคกลาง,หนองลู,สังขละบุรี,กาญจนบุรี,"15.1548138, 98.4494742",15.1548788,98.4496345,,"15.1548138, 98.4494742"
เสม็ดงาม รีสอร์ท,Samedgam Resort,รีสอร์ท,64,,1500,900,,ภาคตะวันออก,หนองบัว,เมืองจันทบุรี,จันทบุรี,"12.5403452, 102.1008539",12.540073,102.1011487,6,"12.5403452, 102.1008539"
บ้านเพลงรีสอร์ท 2,,รีสอร์ท,15,,400,400,,ภาคเหนือ,ฟากท่า,ฟากท่า,อุตรดิตถ์,"17.9993405, 100.8813934",17.9991431,100.881289,6,"17.9993405, 100.8813934"
ธนภรณ์ รีสอร์ท,,รีสอร์ท,8,,1500,400,,ภาคเหนือ,ห้วยม้า,เมืองแพร่,แพร่,"18.2350356, 100.2487967",18.2350356,100.2487967,6,"18.2350356, 100.2487967"
วินซ์,Vince Sakon,โรงแรม,39,,1200,550,ใสสว่าง,ภาคตะวันออกเฉียงเหนือ,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,"17.1703694, 104.1386778",17.1703694,104.1386778,,"17.1703694, 104.1386778"
อนาคิน รีสอร์ท,,รีสอร์ท,7,,300,300,,ภาคตะวันออกเฉียงเหนือ,หนองญาติ,เมืองนครพนม,นครพนม,"17.3841239, 104.7337626",17.384063,104.7341152,,"17.3841239, 104.7337626"
มู่หลาน,,รีสอร์ท,6,,350,350,,ภาคตะวันออกเฉียงเหนือ,สว่างแดนดิน,สว่างแดนดิน,สกลนคร,"17.482513, 103.4682788",17.482513,103.4682788,,"17.482513, 103.4682788"
ห้วยทรายบ้านพัก,,โฮมสเตย์/เรือนพักแรม,5,,500,350,แยกสาวเหลียมสวนหย่่อม,ภาคตะวันออกเฉียงเหนือ,สว่างแดนดิน,สว่างแดนดิน,สกลนคร,"17.456619, 103.462923",17.456619,103.462923,,"17.456619, 103.462923"
เพชร แพรว รีสอร์ท,Phet Preaw Resort,รีสอร์ท,40,,650,450,ปานชูรำลึก,ภาคใต้,พิมาน,เมืองสตูล,สตูล,"6.62679, 100.0738586",6.62679,100.0738586,,"6.62679, 100.0738586"
เฮอริเทจ,Heritage,เซอร์วิส อพาร์ทเมนท์,50,,550,350,ศรีสุข,ภาคตะวันออกเฉียงเหนือ,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,"17.4106839, 102.7768975",17.4107018,102.7768797,,"17.4106839, 102.7768975"
ศรีนครอุดรแมนชั่น,Sri Na Korn Mansion,อพาร์ทเมนท์/แมนชั่น,10,,300,300,โพศรี,ภาคตะวันออกเฉียงเหนือ,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,"17.416137, 102.7735517",17.4161401,102.7735423,,"17.416137, 102.7735517"
ศรีสุขอพาร์ทเมนท์,Sri Suk Apatment,อพาร์ทเมนท์/แมนชั่น,105,,600,400,ศรีสุข,ภาคตะวันออกเฉียงเหนือ,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,"17.4130824, 102.7669839",17.4130824,102.7669839,,"17.4130824, 102.7669839"
มองนอน,Mongnon Hotel,อพาร์ทเมนท์/แมนชั่น,70,,800,590,,ภาคตะวันออกเฉียงเหนือ,สามพร้าว,เมืองอุดรธานี,อุดรธานี,"17.4280369, 102.8133307",17.4280598,102.8132244,,"17.4280369, 102.8133307"
เดลิโอ้ บูติค โฮเต็ล,Delio Boutique Hotel,โรงแรม,18,,400,350,อัศวมิตร,ภาคตะวันออกเฉียงเหนือ,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,"17.3974445, 102.7866902",17.3974445,102.7866902,,"17.3974445, 102.7866902"
ท็อป อินน์,Top Inn Sukhumvit,เกสท์เฮ้าส์,12,,1200,390,สุขุมวิท,ภาคกลาง,คลองเตย,คลองเตย,กรุงเทพมหานคร,"13.7429989, 100.5526047",13.7429989,100.5526047,,"13.7429989, 100.5526047"
โรงแรมนางรอง,Nangrong,โรงแรม,25,,600,400,ประดิษฐ์ปานะ,ภาคตะวันออกเฉียงเหนือ,นางรอง,นางรอง,บุรีรัมย์,"14.6457896, 102.792813",14.6461298,102.7936121,2,"14.6457896, 102.792813"
นลิน เพลส,Nalin place,โรงแรม,26,,650,450,ท่าเมือง,ภาคใต้,บางริ้น,เมืองระนอง,ระนอง,"9.956875, 98.62836",9.9568469,98.6284588,6,"9.956875, 98.62836"
ระนอง ริเวอร์ วิว,Ranong River View,รีสอร์ท,30,,2500,790,เพชรเกษม,ภาคใต้,บางริ้น,เมืองระนอง,ระนอง,"9.914409400000002, 98.6329696",9.914328,98.633474,6,"9.914409400000002, 98.6329696"
เซเว่นซี,Seven Zea Chic Hotel,โรงแรม,48,,6000,2200,เลียบชายหาดพัทยา,ภาคตะวันออก,หนองปรือ,บางละมุง,ชลบุรี,"12.9436683, 100.885891",12.9436683,100.885891,6,"12.9436683, 100.885891"
เดอะ เนเชอรัล รีสอร์ท,The Natural Resort,รีสอร์ท,214,,1200,1000,ใสกอ,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.8827697, 98.29528859999999",7.8827809,98.2956024,6,"7.8827697, 98.29528859999999"
นาข่าบุรี,Nakhaburi Resort.,รีสอร์ท,91,,5800,840,อุดร หนองคาย,ภาคตะวันออกเฉียงเหนือ,นาข่า,เมืองอุดรธานี,อุดรธานี,"17.5399951, 102.7986145",17.5390978,102.800733,,"17.5399951, 102.7986145"
ร่มไทรเกสท์เฮาส์,,เกสท์เฮ้าส์,20,,350,350,พาดวารี,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6106892, 100.0896649",17.6106892,100.0896649,,"17.6106892, 100.0896649"
ชูโชคชัยแมนชั่น,,เซอร์วิส อพาร์ทเมนท์,10,,220,200,ศรีอุตรนอก,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6251606, 100.0905527",17.6253026,100.0911954,,"17.6251606, 100.0905527"
ต้นกล้าแฮปปี้โฮม,,เซอร์วิส อพาร์ทเมนท์,20,,600,350,ถนนบรมอาสน์,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6106666, 100.0836647",17.6106666,100.0836647,,"17.6106666, 100.0836647"
ธนากรการ์เด้นท์,Thanakorn Garden Hotel,โรงแรม,33,,500,400,อินใจมี,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6312218, 100.1020471",17.6310319,100.1020596,,"17.6312218, 100.1020471"
พัฒนทาวเวอร์,,เซอร์วิส อพาร์ทเมนท์,23,,400,350,บรมอาสน์,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6130732, 100.0920922",17.6130631,100.0928973,,"17.6130732, 100.0920922"
เเพเกษณีทัวร์,,แพ,8,,4500,2500,,ภาคเหนือ,ท่าปลา,ท่าปลา,อุตรดิตถ์,"17.8472334, 100.3812781",17.8472334,100.3812781,,"17.8472334, 100.3812781"
แพอาหาร ส.เฉลิมรุ่งเรือง,,แพ,4,,4500,1700,,ภาคเหนือ,ท่าปลา,ท่าปลา,อุตรดิตถ์,"17.8461512, 100.3809622",17.8468917,100.3802695,,"17.8461512, 100.3809622"
เรือนริมน่าน,,แพ,120,,2400,900,,ภาคเหนือ,ผาเลือด,ท่าปลา,อุตรดิตถ์,"17.5934486, 100.1090381",17.593061,100.106522,,"17.5934486, 100.1090381"
วิโรจน์ ฟิชชิ่งทัวร์,,แพ,3,,4500,3000,,ภาคเหนือ,ท่าปลา,ท่าปลา,อุตรดิตถ์,"17.8470833, 100.3796572",17.8468917,100.3802695,,"17.8470833, 100.3796572"
สมบูรณ์พร้อม(ลุงแจ้ง),,แพ,8,,5000,3500,,ภาคเหนือ,ท่าปลา,ท่าปลา,อุตรดิตถ์,"17.8476602, 100.3801902",17.8475747,100.3809536,,"17.8476602, 100.3801902"
ต้นทองรีสอร์ท,,รีสอร์ท,54,,600,400,ศรีชาววัง,ภาคเหนือ,บ้านเกาะ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.598664, 100.0910289",17.598664,100.0910289,,"17.598664, 100.0910289"
ไทธนารีสอร์ท,,รีสอร์ท,42,,500,400,พาดวารี,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6086146, 100.0837935",17.6086146,100.0837935,,"17.6086146, 100.0837935"
บ้านช้างรีสอร์ท,,รีสอร์ท,3,,3000,1500,ผามูบ บ่อแตร,ภาคเหนือ,แม่พูล,ลับแล,อุตรดิตถ์,"12.9438547, 101.5294198",12.9437805,101.5294493,,"12.9438547, 101.5294198"
ริเวอร์ไซด์รีสอร์ท,,รีสอร์ท,16,,400,350,,ภาคเหนือ,ป่าเซ่า,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6080839, 100.1023831",17.6077659,100.102836,,"17.6080839, 100.1023831"
ไร่กลิ่นแก้ว,,รีสอร์ท,6,,300,300,เขื่อนดินท่าปลา,ภาคเหนือ,ท่าปลา,ท่าปลา,อุตรดิตถ์,"17.6719522, 100.0311969",17.6721248,100.0312113,,"17.6719522, 100.0311969"
บ้านพักเขื่อนสิริกิติ์,Sirikitdam,บ้านพักอุทยาน/ทีพักของหน่วยราชการ,113,,2400,900,อุตรดิตถ์ เขื่อนสิริกิติ์,ภาคเหนือ,ท่าปลา,ท่าปลา,อุตรดิตถ์,"17.7498564, 100.5654247",17.7498564,100.5654247,,"17.7498564, 100.5654247"
แกรนด์วนา,,โรงแรม,16,,450,450,บรมอาสน์,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6136576, 100.090948",17.6136576,100.090948,,"17.6136576, 100.090948"
ดวงเกษมแมนชั่น,,อพาร์ทเมนท์/แมนชั่น,27,,250,200,อินใจมี,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6322941, 100.1009298",17.632307,100.100898,,"17.6322941, 100.1009298"
ธโนทัย,,โรงแรม,20,,350,300,เกษมราษฎร์,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6212468, 100.0995008",17.621394,100.099301,,"17.6212468, 100.0995008"
พิชัย 2,,โรงแรม,17,,350,150,หน้าสถานีรถไฟ,ภาคเหนือ,ในเมือง,พิชัย,อุตรดิตถ์,"17.3544332, 99.9921964",17.3544339,99.9922008,,"17.3544332, 99.9921964"
พีรภัทร,Peeraphat Hotel,โรงแรม,29,,400,280,อินใจมี,ภาคเหนือ,ชัยจุมพล,ลับแล,อุตรดิตถ์,"17.6434752, 100.0676862",17.644075,100.0683454,,"17.6434752, 100.0676862"
ฟรายเดย์,friday hotel,โรงแรม,122,,3200,750,บรมอาสน์,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6142787, 100.0927658",17.6142287,100.0927908,,"17.6142787, 100.0927658"
ยูสบาย แอท ยูอายู,๊U sabai at URU,โรงแรม,34,,500,300,อินใจมี,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6356694, 100.0924862",17.6357469,100.0924828,,"17.6356694, 100.0924862"
วิวัฒน์รีสอร์ท,,โรงแรม,11,,550,240,บรมอาสน์,ภาคเหนือ,แสนตอ,น้ำปาด,อุตรดิตถ์,"17.7268245, 100.6751116",17.7268235,100.6750916,,"17.7268245, 100.6751116"
สีหราช,seeharaj hotel,โรงแรม,152,,3500,850,บรมอาสน์,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.614779, 100.090909",17.614779,100.090909,,"17.614779, 100.090909"
อุตรดิตถ์ 2,Uttadit 2,โรงแรม,12,,250,150,ย่านศิลาอาสน์,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.4499262, 100.1470194",17.4499244,100.14703,,"17.4499262, 100.1470194"
พุทธรักษ์,Put Tra Rak,โรงแรม,25,,180,180,ประจักษ์,ภาคตะวันออกเฉียงเหนือ,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,"17.4045154, 102.8017805",17.4045154,102.8017805,,"17.4045154, 102.8017805"
จิตรลดาแมนชั่น,Jitladamansion,อพาร์ทเมนท์/แมนชั่น,12,,350,250,บรมอาสน์,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6054902, 100.0764005",17.6053025,100.0760294,,"17.6054902, 100.0764005"
ภัทรวินแมนชั่น,,อพาร์ทเมนท์/แมนชั่น,16,,350,350,ถนนบรมอาสน์,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6139168, 100.0900669",17.6139168,100.0900669,,"17.6139168, 100.0900669"
ไทธนาอพาร์ตเมนท์,,อพาร์ทเมนท์/แมนชั่น,35,,350,350,บรมอาสน์,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6164581, 100.0924532",17.616417,100.0925594,,"17.6164581, 100.0924532"
ธรรมชาติแมนชั่น,,อพาร์ทเมนท์/แมนชั่น,40,,400,350,สำราญรื่น,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6413175, 100.1098769",17.6413175,100.1098769,,"17.6413175, 100.1098769"
โอยูเอ็ม,OUM hotel,โรงแรม,42,,2500,660,สมานมิตร,ภาคเหนือ,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,"17.6203289, 100.0921031",17.6205897,100.0918553,,"17.6203289, 100.0921031"
ทอแสง,Tohsang,โรงแรม,76,,3288,1488,พโลชัย,ภาคตะวันออกเฉียงเหนือ,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,"15.2325377, 104.8451733",15.2324926,104.8451673,,"15.2325377, 104.8451733"
99 รีสอร์ท,99 Resort,รีสอร์ท,16,,500,400,,ภาคตะวันออก,บ้านใหม่หนองไทร,อรัญประเทศ,สระแก้ว,"13.7127128, 102.5052228",13.7123343,102.5058681,,"13.7127128, 102.5052228"
บ้านพักอุทยานแห่งชาติลำน้ำน่าน,,บ้านพักอุทยาน/ทีพักของหน่วยราชการ,7,,1800,1500,,ภาคเหนือ,ผาเลือด,ท่าปลา,อุตรดิตถ์,"17.7686299, 100.4963373",17.769312,100.496437,6,"17.7686299, 100.4963373"
วัวลาย สบายดี,Wualai Sabaidee,โรงแรม,11,,2800,1400,วัวลาย,ภาคเหนือ,ช้างคลาน,เมืองเชียงใหม่,เชียงใหม่,"18.7762458, 98.9866114",18.7762662,98.9866288,6,"18.7762458, 98.9866114"
อนันตยาโฮม,AnantayaHomePhrae,โรงแรม,23,,1200,1000,,ภาคเหนือ,สูงเม่น,สูงเม่น,แพร่,"18.1062728, 100.1343134",18.1062135,100.1345682,,"18.1062728, 100.1343134"
บ้านแสงดาวรีสอร์ท,Baan Sang Dao Resort,รีสอร์ท,12,,1800,1000,,ภาคกลาง,นาโคก,เมืองสมุทรสาคร,สมุทรสาคร,"13.4301018, 100.0921783",13.4301322,100.0924099,6,"13.4301018, 100.0921783"
ไพลินวิลล่าภูเก็ต,Pailin villa Phuket,รีสอร์ท,15,,9300,6500,เจ้าฟ้า,ภาคใต้,ฉลอง,เมืองภูเก็ต,ภูเก็ต,"7.8444916, 98.3287421",7.8444289,98.3288057,6,"7.8444916, 98.3287421"
โคโคนัท วิลเลจ รีสอร์ท,coconut village resort,รีสอร์ท,75,,3500,2000,ประชานุเคราะห์,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.884558299999999, 98.2924309",7.8845583,98.2924309,6,"7.884558299999999, 98.2924309"
วิลล่า วิชาลัย,Villa Vichalai Hotel,โรงแรม,30,,1100,700,,ภาคตะวันออก,เนินหอม,เมืองปราจีนบุรี,ปราจีนบุรี,"14.1615476, 101.3621292",14.1615476,101.3621292,,"14.1615476, 101.3621292"
ไผ่ตาพุด โฮมสเตย์,Phitaput  Homestay,โฮมสเตย์/เรือนพักแรม,8,ตั้งอยู่ริมแม่น้ำท่าจีน,250,200,,ภาคกลาง,บ้านแหลม,บางปลาม้า,สุพรรณบุรี,"14.3416223, 100.1479898",14.3418436,100.1476885,,"14.3416223, 100.1479898"
โรสวูด ภูเก็ต,Rosewood Phuket,โรงแรม,71,,76497,20927,Muen Ngern,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.8848208, 98.274163",7.8848208,98.274163,,"7.8848208, 98.274163"
เดอะ เนเจอร์ ภูเก็ต,The Nature Phuket,โรงแรม,300,,9000,3000,พระบารมี,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.9149857, 98.2928654",7.9149857,98.2928654,,"7.9149857, 98.2928654"
ภูเก็ต ชิโนอินน์,Phuket Chinoinn Hotel,โรงแรม,56,,1300,1000,พูนผล,ภาคใต้,ตลาดเหนือ,เมืองภูเก็ต,ภูเก็ต,"7.877764500000001, 98.3857994",7.8777645,98.3857994,,"7.877764500000001, 98.3857994"
ซินหล่อเฮ้าส์,Xinlor House,โรงแรม,17,,3500,1200,ดีบุก,ภาคใต้,ตลาดเหนือ,เมืองภูเก็ต,ภูเก็ต,"7.8866375, 98.38593329999999",7.8866375,98.3859333,,"7.8866375, 98.38593329999999"
พระจันทร์เคียงดาวรีสอร์ท,PRAJANKIENGDAW RESORT,รีสอร์ท,23,,750,650,,ภาคเหนือ,บ้านถิ่น,เมืองแพร่,แพร่,"18.13700679999999, 100.20384",18.1368313,100.2042086,,"18.13700679999999, 100.20384"
บ้านทุ่งทะเลหมอกเชียงดาว,,รีสอร์ท,7,,350,300,,ภาคเหนือ,เมืองงาย,เชียงดาว,เชียงใหม่,"19.4450477, 98.957206",19.4457717,98.9566009,,"19.4450477, 98.957206"
เดอะ เวส วิลเลจ เชียงดาว,"The Wes Village, Chiangdao",โรงแรม,4,,1300,900,,ภาคเหนือ,เชียงดาว,เชียงดาว,เชียงใหม่,"19.4045995, 98.9579255",19.4046039,98.9579315,,"19.4045995, 98.9579255"
บ้านปางทรายคำริมธาร,Pang Sai Khum Rim Tharn,โฮมสเตย์/เรือนพักแรม,5,,5000,1200,,ภาคเหนือ,แม่นะ,เชียงดาว,เชียงใหม่,"19.3190664, 98.8882117",19.318865,98.8878186,,"19.3190664, 98.8882117"
ฟอร์ล่า คลีค เชียงใหม่,"Flora Creek , Chiang Mai ",โรงแรม,70,,15000,4500,,ภาคเหนือ,บ้านปง,หางดง,เชียงใหม่,"18.772676, 98.861847",18.7726193,98.8618709,,"18.772676, 98.861847"
คอนเทนต์วิลล่าเชียงใหม่,Content Villa Chiang Mai,โรงแรม,20,,9500,1800,,ภาคเหนือ,หนองควาย,หางดง,เชียงใหม่,"18.7192822, 98.93362119999999",18.7192822,98.9336212,,"18.7192822, 98.93362119999999"
ฮิลล์โบโร่ ดิ อิงลิช คันทรีเฮาส์,Hillsborough,โรงแรม,10,,5000,1900,,ภาคเหนือ,บ้านปง,หางดง,เชียงใหม่,"18.7900262, 98.84017639999999",18.7899691,98.8402067,,"18.7900262, 98.84017639999999"
ภูธารทรี รีสอร์ท,Phutarntree,รีสอร์ท,7,,4000,1000,,ภาคเหนือ,บ้านปง,หางดง,เชียงใหม่,"18.7797388, 98.8524594",18.7797589,98.8524179,,"18.7797388, 98.8524594"
อสิตา อีโค รีสอร์ท,asita eco resort,รีสอร์ท,23,ที่พักสวย บรรยากาศดี สไตล์ eco อนุรักษ์สิ่งแวดล้อม ท่ามกลางธรรมชาติ,3500,2500,,ภาคกลาง,ท้ายหาด,เมืองสมุทรสงคราม,สมุทรสงคราม,"13.3913951, 99.9760798",13.3919126,99.9764843,6,"13.3913951, 99.9760798"
ซีบีดี ทู,CBD 2,โรงแรม,80,,3500,790,ฝั่งบางใบไม้,ภาคใต้,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,"9.142967692171208, 99.32075411081314",9.1416165,99.3197751,,"9.142967692171208, 99.32075411081314"
สิบแสน ลักชูรี ริมปิง,Sibsan Luxury Hotel Rimping,โรงแรม,32,,20000,5300,วงแหวนรอบสอง,ภาคเหนือ,สันผีเสื้อ,เมืองเชียงใหม่,เชียงใหม่,"18.8459267, 98.9863606",18.8457798,98.9866293,,"18.8459267, 98.9863606"
แพ ปู่ย่าตายาย,Poo Ya Ta Yay Raft,แพ,3,,4000,2000,,ภาคกลาง,ด่านแม่แฉลบ,ศรีสวัสดิ์,กาญจนบุรี,"14.5556159, 99.1493687",14.5556159,99.1493687,6,"14.5556159, 99.1493687"
บ้านสุขริมแคว,Ban Suk Rim Khwae Resort & Restaurant,เกสท์เฮ้าส์,7,,1500,700,แม่น้ำแคว,ภาคกลาง,บ้านใต้,เมืองกาญจนบุรี,กาญจนบุรี,"14.0346291, 99.5158175",14.0352771,99.5158807,,"14.0346291, 99.5158175"
สามบีโฮมสเตย์,3B HOMESTAY,เกสท์เฮ้าส์,5,,500,300,สวัสดิภาพพิสุทธิ์,ภาคตะวันออกเฉียงเหนือ,นาแก,นาแก,นครพนม,"16.9490514, 104.4922791",16.9493952,104.4917131,,"16.9490514, 104.4922791"
บุษบา รีสอร์ท & สปา,Budsaba Resort & Spa,รีสอร์ท,30,,8500,2300,,ภาคตะวันออก,นาจอมเทียน,สัตหีบ,ชลบุรี,"12.7970296, 100.9360326",12.7969929,100.9355937,6,"12.7970296, 100.9360326"
ซี ซัน แซนด์ รีสอร์ท แอนด์ สปา,Sea Sun Sand Resort and Spa,รีสอร์ท,202,,4400,1500,,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.905635599999999, 98.2996218",7.9055964,98.2996493,6,"7.905635599999999, 98.2996218"
สำเริงรีสอร์ท,SumRueng Resort,รีสอร์ท,11,,400,200,นาแก มหาวิทยาลัยรามคำแหง,ภาคตะวันออกเฉียงเหนือ,นาแก,นาแก,นครพนม,"16.933563, 104.492989",16.933563,104.492989,,"16.933563, 104.492989"
นิมมานโซนสุข,์์Nimman Zonesuk,โรงแรม,20,,2200,1600,นิมมานเหมินทร์,ภาคเหนือ,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,"18.7990596, 98.9657113",18.7990681,98.9657467,,"18.7990596, 98.9657113"
ซิมพลีเทล,Simplitel Hotel,โรงแรม,60,,800,400,ปฏัก,ภาคใต้,กะรน,เมืองภูเก็ต,ภูเก็ต,"7.848252700000002, 98.2964324",7.8482527,98.2964324,,"7.848252700000002, 98.2964324"
ฮันนี่รีสอร์ท,Honey Resort,รีสอร์ท,55,,1500,1000,กะตะ,ภาคใต้,กะรน,เมืองภูเก็ต,ภูเก็ต,"7.824425000000001, 98.29865009999999",7.824425,98.2986501,,"7.824425000000001, 98.29865009999999"
ใต้ร่มคะเนียง โฮมสเตย์,,โฮมสเตย์/เรือนพักแรม,8,,1000,500,,ภาคกลาง,หนองลู,สังขละบุรี,กาญจนบุรี,"15.1460202, 98.4546525",15.1460202,98.4546525,6,"15.1460202, 98.4546525"
ยัวร์เพลส,Your Place,โรงแรม,30,,2800,950,อภิบาบัญชา,ภาคตะวันออกเฉียงเหนือ,ในเมือง,เมืองนครพนม,นครพนม,"17.4138839, 104.7786334",17.4138839,104.7786334,,"17.4138839, 104.7786334"
ภูธารินทร์ รีโซเทล รีสอร์ท,Phutarin Resotel resort and hotel,รีสอร์ท,18,,600,400,ซยางกูร,ภาคตะวันออกเฉียงเหนือ,ท่าค้อ,เมืองนครพนม,นครพนม,"17.3599099, 104.7889779",17.3598835,104.7899986,,"17.3599099, 104.7889779"
พิณเพลส,,โรงแรม,20,,400,300,ซยางกูร,ภาคตะวันออกเฉียงเหนือ,ธาตุพนม,ธาตุพนม,นครพนม,"16.949151, 104.7248987",16.9491465,104.7249006,,"16.949151, 104.7248987"
ดวงนภา รีสอร์ท,Duangnapa Resort,รีสอร์ท,11,,4500,350,,ภาคตะวันออก,เขาฉกรรจ์,เขาฉกรรจ์,สระแก้ว,"13.676366, 102.075272",13.6753965,102.0743833,,"13.676366, 102.075272"
69 รีสอร์ท,Sixty Nine Resort,รีสอร์ท,20,,450,400,นครพนม ท่าอุเทน,ภาคตะวันออกเฉียงเหนือ,หนองแสง,เมืองนครพนม,นครพนม,"17.4383889, 104.7543712",17.4383889,104.7543712,,"17.4383889, 104.7543712"
เจริญแสงการ์เด้น,,โรงแรม,23,,450,200,นคร ธาตุ,ภาคตะวันออกเฉียงเหนือ,ท่าค้อ,เมืองนครพนม,นครพนม,"17.31431449999999, 104.7871004",17.3143145,104.7871004,,"17.31431449999999, 104.7871004"
รีสอร์ท ฮวงจุ้ย บ้านภูเขา,Resort Huangchui Baan Phukhao,รีสอร์ท,24,,11700,2200,มิตรภาพ,ภาคกลาง,มิตรภาพ,มวกเหล็ก,สระบุรี,"14.600327, 101.2066817",14.6003069,101.2068704,,"14.600327, 101.2066817"
สักทอง รีสอร์ท (คำตากกล้า),,รีสอร์ท,15,,450,250,,ภาคตะวันออกเฉียงเหนือ,คำตากล้า,คำตากล้า,สกลนคร,"17.8588499, 103.7649875",17.8577397,103.7655374,,"17.8588499, 103.7649875"
ริมน้ำ รีสอร์ท,,รีสอร์ท,11,,300,300,,ภาคตะวันออกเฉียงเหนือ,ปลาโหล,วาริชภูมิ,สกลนคร,"17.326264, 103.671106",17.326756,103.671106,,"17.326264, 103.671106"
ศิริลักษณ์ การ์เด้นท์ แอนด์ รีสอร์ท,,รีสอร์ท,11,,500,350,ทางหลวง ชนบท สน. 2031,ภาคตะวันออกเฉียงเหนือ,ปลาโหล,วาริชภูมิ,สกลนคร,"17.6800804, 103.7346656",17.6802841,103.7339301,,"17.6800804, 103.7346656"
เอ็ม.ที.เพลส,MTPlace,โรงแรม,33,,400,350,ต.พัฒนา ธาตุเชิงชุม,ภาคตะวันออกเฉียงเหนือ,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,"17.1570036, 104.1410846",17.1570248,104.141083,,"17.1570036, 104.1410846"
ราชิกาแกรนด์ รีสอร์ท,,โรงแรม,27,,1000,500,นิตโย,ภาคตะวันออกเฉียงเหนือ,บงใต้,สว่างแดนดิน,สกลนคร,"17.3998358, 103.3527151",17.3991494,103.3536298,,"17.3998358, 103.3527151"
ครกไม้ รีสอร์ท,,รีสอร์ท,10,,600,350,บ้านม่วง บ้านดุง,ภาคตะวันออกเฉียงเหนือ,มาย,บ้านม่วง,สกลนคร,"17.8610116, 103.5243153",17.8609882,103.5243179,,"17.8610116, 103.5243153"
เม็ดทราย ริเวอร์ไซด์ รีสอร์ท,,รีสอร์ท,18,,500,450,,ภาคตะวันออกเฉียงเหนือ,ตองโขบ,โคกศรีสุพรรณ,สกลนคร,"17.0678862, 104.2536896",17.0694352,104.25469,,"17.0678862, 104.2536896"
