ACC_NAME_TH,ACC_NAME_EN,ACCOM_TYPE_NAME,ACC_ROOM,ACC_HILIGHT,ACC_HIGH_RATE,ACC_LOW_RATE,ACC_ROAD,REGION_NAME_TH,SUBDISTRICT_NAME_TH,DISTRICT_NAME_TH,PROVINCE_NAME_TH,ACC_LOCATION,Latitude,Longitude,ACC_STANDARD,ACC_LOCATION_1
แม่นิลเพลส,,โรงแรม,24,,400,350,พิทักษ์พนมเขต,ภาคตะวันออกเฉียงเหนือ,ศรีบุญเรือง,เมืองมุกดาหาร,มุกดาหาร,"16.5389768, 104.7300529",16.5389768,104.7300529,6,"16.5389768, 104.7300529"
ชีวี วนา บูทิก โฮเทล,Shewe Wana Boutique Hotel ChiangMai,รีสอร์ท,30,,5000,1200,เจริญเมือง,ภาคเหนือ,วัดเกต,เมืองเชียงใหม่,เชียงใหม่,"18.7864698, 99.0107226",18.7864698,99.0107226,,"18.7864698, 99.0107226"
หม่อมตรี วิลล่า รอแยล ภูเก็ต,Mom Tris Villa Royale Hotel (SHA Plus ),โรงแรม,35,,28300,9000,กะตะ,ภาคใต้,กะรน,เมืองภูเก็ต,ภูเก็ต,"7.8104902, 98.2973959",7.8104902,98.2973959,6,"7.8104902, 98.2973959"
บ้านกะตะ เมธา,(Baan Kata Maytha),รีสอร์ท,36,,2500,1500,ปฏัก,ภาคใต้,กะรน,เมืองภูเก็ต,ภูเก็ต,"7.826925999999998, 98.300964",7.826925999999998,98.300964,6,"7.826925999999998, 98.300964"
เคป เซียนนา โฮเทล แอนด์ วิลล่า,Cape Sienna Hotel & Villas,อื่นๆ,146,,12000,2700,,ภาคใต้,กมลา,กะทู้,ภูเก็ต,"7.949438, 98.27384149999999",7.949438, 98.27384149999999,6,"7.949438, 98.27384149999999"
โฮมสเตย์ บ้านในสวน,,โฮมสเตย์/เรือนพักแรม,5,,2000,1500,หน้าสถานีรถไฟ,ภาคใต้,นาสาร,บ้านนาสาร,สุราษฎร์ธานี,"8.804642621659369, 99.35938596725464",8.804642621659369, 99.35938596725464,,"8.804642621659369, 99.35938596725464"
เมอเวนพิค สุริวงศ์ เชียงใหม่,Movenpick Suriwongse Hotel Chiang Mai,โรงแรม,10,,10000,2000,ช้างคลาน,ภาคเหนือ,ช้างคลาน,เมืองเชียงใหม่,เชียงใหม่,"18.7837727, 98.9998029",18.7837727,98.9998029,,"18.7837727, 98.9998029"
ณภัทรา โฮเทล,Napatra Hotel Chiangmai,โรงแรม,68,,1200,800,หมื่นด้ามพร้าคต,ภาคเหนือ,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,"18.804122, 98.9934986",18.804122,98.9934986,,"18.804122, 98.9934986"
บ้าน ไอ อินสปาย,Baan Inspire,โรงแรม,22,,1750,900,ราษฎร์อุทิศ,ภาคเหนือ,ในเวียง,เมืองแพร่,แพร่,"18.1370753, 100.1545428",18.1370753,100.1545428,6,"18.1370753, 100.1545428"
อมรา มอร์นิ่ง โฮม,Amara Morning Home,โมเต็ล,15,,600,600,แสงชูโต,ภาคกลาง,บ้านใต้,เมืองกาญจนบุรี,กาญจนบุรี,"14.0253735, 99.5321491",14.0253735,99.5321491,6,"14.0253735, 99.5321491"
ต้นรักษ์ รีสอร์ท,Tonrak Resort,รีสอร์ท,60,,600,500,พหลโยธิน,ภาคกลาง,หนองแค,หนองแค,สระบุรี,"14.4010361, 100.8918335",14.4010361,100.8918335,,"14.4010361, 100.8918335"
